gesture_id,character,velocity_magnitude,acceleration_magnitude,angular_velocity,curvature,centroid_x,centroid_y,spread_x,spread_y,progress,time_from_start,compactness,aspect_ratio
unknown_0,ء,0.04699787497520447,5.035409450531006,0.0,0.0,0.040684446692466736,0.055244460701942444,5.620504078708467e-18,6.1062266023511365e-18,0.12899716198444366,0.07935500144958496,0.0,0.30000001192092896
unknown_1,ء,0.07854688912630081,9.189908981323242,0.0,0.0,0.15226052701473236,0.12973906099796295,2.3592239935029067e-17,8.881783998477905e-18,0.11384012550115585,0.07020500302314758,0.0,0.30000001192092896
unknown_2,ء,0.10602232068777084,12.969840049743652,0.0,0.0,0.15104608237743378,0.13371367752552032,2.4424906409404546e-17,1.1102230411687688e-17,0.12400650978088379,0.05085499584674835,0.0,0.30000001192092896
unknown_3,ء,0.12614083290100098,39.904354095458984,0.0,0.0,0.10938470810651779,0.12237118929624557,1.1379785903146181e-17,1.4710454282189936e-17,0.12305071204900742,0.055355004966259,0.0,0.30000001192092896
unknown_4,ء,0.06972911208868027,9.170541763305664,0.0,0.0,0.18616144359111786,0.13252972066402435,2.609024101251673e-17,1.8596236125692515e-17,0.12022490799427032,0.05760500952601433,0.0,0.30000001192092896
unknown_5,ء,0.07803528010845184,8.328049659729004,0.0,0.0,0.11634811758995056,0.11898049712181091,1.0269563110131596e-17,1.415534329927295e-17,0.09768081456422806,0.058955006301403046,0.0,0.30000001192092896
unknown_6,ء,0.08964932709932327,10.350564002990723,0.0,0.0,0.18247072398662567,0.1374877691268921,2.8865797581462886e-17,1.1102230411687688e-17,0.12772908806800842,0.050255004316568375,0.0,0.30000001192092896
unknown_7,ء,0.06746798008680344,8.46599006652832,0.0,0.0,0.12429872155189514,0.1256522834300995,1.3877787807814457e-17,1.0269563110131596e-17,0.10634510219097137,0.054604992270469666,0.0,0.30000001192092896
unknown_8,ء,0.0926879420876503,11.0609769821167,0.0,0.0,0.16839170455932617,0.13930180668830872,2.1649348186097164e-17,1.776356799695581e-17,0.1200377345085144,0.053405001759529114,0.0,0.30000001192092896
unknown_9,ء,0.06983356177806854,7.919283866882324,0.0,0.0,0.11128109693527222,0.11582926660776138,1.1657341394604674e-17,1.193489771324378e-17,0.13392211496829987,0.054454997181892395,0.0,0.30000001192092896
